Season,Episode,Topic,Label,Confidence,Topic Words
1,11,0,Gossip,0.035505101,"['mom', 'chandler', 'shes', 'dont', 'tv', 'phoebe', 'joey', 'yknow', 'um', 'know']"
1,11,1,Child,0.082130611,"['well', 'thats', 'alright', 'know', 'yeah', 'way', 'youre', 'im', 'yknow', 'thought']"
1,11,1,Friendship,0.06596002,"['well', 'thats', 'alright', 'know', 'yeah', 'way', 'youre', 'im', 'yknow', 'thought']"
1,11,1,Museum,0.063627362,"['well', 'thats', 'alright', 'know', 'yeah', 'way', 'youre', 'im', 'yknow', 'thought']"
1,11,1,Sofa,0.055147469,"['well', 'thats', 'alright', 'know', 'yeah', 'way', 'youre', 'im', 'yknow', 'thought']"
1,11,2,Romance,0.113839753,"['oh', 'please', 'yeah', 'uhoh', 'nooo', 'pleasure', 'wow', 'mad', 'god', 'around']"
1,11,2,Child,0.067238301,"['oh', 'please', 'yeah', 'uhoh', 'nooo', 'pleasure', 'wow', 'mad', 'god', 'around']"
1,11,2,Sofa,0.053592686,"['oh', 'please', 'yeah', 'uhoh', 'nooo', 'pleasure', 'wow', 'mad', 'god', 'around']"
1,11,2,Sex,0.051414873,"['oh', 'please', 'yeah', 'uhoh', 'nooo', 'pleasure', 'wow', 'mad', 'god', 'around']"
1,11,3,Child,0.104107283,"['hey', 'nothing', 'woowoo', 'hi', 'whats', 'hello', 'oh', 'youre', 'woulda', 'woozy']"
1,11,3,Friendship,0.082174845,"['hey', 'nothing', 'woowoo', 'hi', 'whats', 'hello', 'oh', 'youre', 'woulda', 'woozy']"
1,11,3,Acting,0.057711273,"['hey', 'nothing', 'woowoo', 'hi', 'whats', 'hello', 'oh', 'youre', 'woulda', 'woozy']"
1,11,3,Romance,0.05084265,"['hey', 'nothing', 'woowoo', 'hi', 'whats', 'hello', 'oh', 'youre', 'woulda', 'woozy']"
1,11,4,Friendship,0.180008829,"['guy', 'could', 'shot', 'glen', 'he', 'wish', 'time', 'kinda', 'hello', 'like']"
1,11,4,Romance,0.123913541,"['guy', 'could', 'shot', 'glen', 'he', 'wish', 'time', 'kinda', 'hello', 'like']"
1,11,4,Fight,0.070641309,"['guy', 'could', 'shot', 'glen', 'he', 'wish', 'time', 'kinda', 'hello', 'like']"
1,11,4,Acting,0.070058659,"['guy', 'could', 'shot', 'glen', 'he', 'wish', 'time', 'kinda', 'hello', 'like']"
1,12,0,Child,0.093839228,"['know', 'ok', 'oh', 'dont', 'pheebs', 'uh', 'think', 'thats', 'yes', 'want']"
1,12,0,Gossip,0.093343675,"['know', 'ok', 'oh', 'dont', 'pheebs', 'uh', 'think', 'thats', 'yes', 'want']"
1,12,0,Museum,0.050054133,"['know', 'ok', 'oh', 'dont', 'pheebs', 'uh', 'think', 'thats', 'yes', 'want']"
1,12,0,Sofa,0.048708525,"['know', 'ok', 'oh', 'dont', 'pheebs', 'uh', 'think', 'thats', 'yes', 'want']"
1,12,1,Child,0.208375365,"['ross', 'know', 'susan', 'monica', 'carol', 'guy', 'one', 'come', 'joey', 'table']"
1,12,1,Roommates,0.199222222,"['ross', 'know', 'susan', 'monica', 'carol', 'guy', 'one', 'come', 'joey', 'table']"
1,12,1,TV,0.12821798,"['ross', 'know', 'susan', 'monica', 'carol', 'guy', 'one', 'come', 'joey', 'table']"
1,12,1,Friendship,0.062897883,"['ross', 'know', 'susan', 'monica', 'carol', 'guy', 'one', 'come', 'joey', 'table']"
1,12,2,Romance,0.326146662,"['paolo', 'nose', 'poconos', 'massage', 'paolos', 'walk', 'well', 'got', 'rachel', 'oh']"
1,12,2,Friendship,0.066319861,"['paolo', 'nose', 'poconos', 'massage', 'paolos', 'walk', 'well', 'got', 'rachel', 'oh']"
1,12,2,Roommates,0.059616584,"['paolo', 'nose', 'poconos', 'massage', 'paolos', 'walk', 'well', 'got', 'rachel', 'oh']"
1,12,2,Child,0.057778541,"['paolo', 'nose', 'poconos', 'massage', 'paolos', 'walk', 'well', 'got', 'rachel', 'oh']"
1,12,3,Child,0.688769817,"['im', 'boy', 'sorry', 'iim', 'gon', 'na', 'oh', 'camped', 'babbling', 'whaim']"
1,12,3,Gossip,0.054641657,"['im', 'boy', 'sorry', 'iim', 'gon', 'na', 'oh', 'camped', 'babbling', 'whaim']"
1,12,3,Roommates,0.021899488,"['im', 'boy', 'sorry', 'iim', 'gon', 'na', 'oh', 'camped', 'babbling', 'whaim']"
